"State","County","Biden","Trump","Population"
"CALIFORNIA","LOS ANGELES",0.710278083606821,0.268628506237154,9989165
"CALIFORNIA","SHASTA",0.322823630689766,0.654137522866674,181893
"FLORIDA","BROWARD",0.646100126139221,0.348145294004628,1941516
"FLORIDA","SANTA ROSA",0.258229836899596,0.723711282358222,189133
"ILLINOIS","COOK",0.743477669044741,0.240479158607892,5262741
"ILLINOIS","MACON",0.40184247823446,0.578841870824053,103647
"NEW YORK","NEW YORK",0.859760053036405,0.121449091466414,1687834
"NEW YORK","OSWEGO",0.385455407277766,0.585903886822723,117351
"TEXAS","TRAVIS",0.716197674896274,0.265106190691369,1296100
"TEXAS","PARKER",0.170988335435057,0.815008932324506,149432
